
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Roy Hibbert*,$14898938,$14898938,$15514031,,,,Bird Rights,$14898938
Paul George*,$13701250,$13701250,$14728844,$15756438,$16784031,$17811625,1st Round Pick,$60970563
David West*,$12000000,$12000000,$12000000,,,,Early Bird Rights,$12000000
George Hill*,$8000000,$8000000,$8000000,$8000000,,,Bird Rights,$24000000
Luis Scola*,$4868499,$4868499,,,,,Cap Space,$940946
C.J. Miles*,$4205000,$4205000,$4394225,$4583450,$4772675,,MLE,$13182675
Ian Mahinmi*,$4000000,$4000000,$4000000,,,,Early Bird Rights,$8000000
Chris Copeland*,$3135000,$3135000,,,,,MLE,$3135000
C.J. Watson*,$2106720,$2106720,,,,,BAE,$2106720
Solomon Hill*,$1302840,$1302840,$1358880,$2306019,,,1st Round Pick,$1302840
Damjan Rudez,$1100000,$1100000,$1149500,$1199000,,,MLE,$2249500
Donald Sloan*,$948163,$948163,,,,,Minimum Salary,
Rodney Stuckey*,$915243,$1227985,,,,,Minimum Salary,$915243
Evan Turner,$13359734,,,,,,,
Lavoy Allen,$5814000,,,,,,,
Andrew Bynum,$1200000,,,,,,,
Rasual Butler,$915243,,,,,,,
Ben Hansbrough,$816482,,,,,,,
Team Totals,$93287112,$71494395,$61145480,$31844907,$21556706,$17811625,,$143702425
