
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Amar'e Stoudemire*,$23410988,$23410988,,,,,Bird Rights,$23410988
Carmelo Anthony*,$22458000,$22458000,$22875000,$24559380,$26243760,$27928140,Bird Rights,$96136140
Andrea Bargnani*,$11500000,$11500000,,,,,Bird Rights,$11500000
Jose Calderon*,$7097191,$7097191,$7402812,$7708427,,,Cap Space,$22208430
J.R. Smith*,$5982375,$5982375,$6399750,,,,Early Bird Rights,$5982375
Samuel Dalembert*,$3867282,$3867282,,,,,Cap Space,$1800000
Jason Smith*,$3300000,$3300000,,,,,Mini MLE,$3300000
Wayne Ellington*,$2771340,$2771340,,,,,Room Exception,$2771340
Iman Shumpert*,$2616975,$2616975,,,,,1st Round Pick,$2616975
Pablo Prigioni*,$1662961,$1662961,$1734572,,,,MLE,$3544311
Shane Larkin*,$1606080,$1606080,$1675320,$2576642,,,1st Round Pick,$1606080
Tim Hardaway*,$1250640,$1250640,$1304520,$2281605,,,1st Round Pick,$1250640
Jeremy Tyler*,$948163,$948163,,,,,Minimum Salary,$556584
Cole Aldrich*,$915243,$981084,,,,,Minimum Salary,$915243
Metta World Peace,$250000,$250000,,,,,,$250000
Mike Bibby,$915243,,,,,,,
Kenyon Martin,$915243,,,,,,,
Earl Barron,$915243,,,,,,,
Baron Davis,$915243,,,,,,,
Toure' Murry,$816482,,,,,,,
Team Totals,$94114692,$89703079,$41391974,$37126054,$26243760,$27928140,,$177849106
