
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Thaddeus Young*,$9410870,$9410870,$9971739,,,,Bird Rights,$9160870
Jason Richardson*,$6601125,$6601125,,,,,Bird Rights,$6601125
Nerlens Noel*,$3315120,$3315120,$3457800,$4384490,,,1st Round Pick,$3315120
Michael Carter-Williams*,$2300040,$2300040,$2399040,$3183526,,,1st Round Pick,$2300040
Eric Maynor*,$2106720,$2106720,,,,,,$2106720
Tony Wroten*,$1210080,$1210080,$2179354,,,,1st Round Pick,$1210080
Arnett Moultrie*,$1136160,$1136160,$2049633,,,,1st Round Pick,$1136160
Elliot Williams*,$981084,$981084,$1100602,$1227286,,,Cap Space,
Jarvis Varnado*,$915243,$915243,,,,,Cap Space,$75000
Henry Sims*,$915243,$915243,,,,,Minimum Salary,
Brandon Davies*,$816482,$816482,$947276,$1015696,,,Cap Space,
Hollis Thompson*,$816482,$816482,$947276,$1015696,,,Cap Space,
Casper Ware,$816482,$816482,,,,,,
Byron Mullens,$915243,,,,,,,
Adonis Thomas,$816482,,,,,,,
Joel Embiid,$3689700,,,,,,,
Dario Saric,$1803400,,,,,,,
Charles Jenkins,$915243,,,,,,,
Team Totals,$39481199,$31341131,$23052720,$10826694,,,,$25905115
