
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
LeBron James*,$20644400,$20644400,$21573398,,,,Cap Space,$20644400
Anderson Varejao*,$9704595,$9704595,,,,,Bird Rights,$4000000
Kyrie Irving*,$7070730,$7070730,,,,,1st Round Pick,$7070730
Anthony Bennett*,$5563920,$5563920,$5803560,$7318289,,,1st Round Pick,$5563920
Tristan Thompson*,$5138430,$5138430,,,,,1st Round Pick,$5138430
Dion Waiters*,$4062000,$4062000,$5138430,,,,1st Round Pick,$4062000
Mike Miller*,$2700000,$2700000,$2800000,,,,,
Brendan Haywood*,$2213688,$2213688,$10522500,,,,Cap Space,$2213688
James Jones*,$1448490,$1448490,,,,,Minimum Salary,$1448490
Carrick Felix*,$816482,$816482,$947276,$1015696,,,Cap Space,$816482
Matthew Dellavedova*,$816482,$816482,,,,,Minimum Salary,
Andrew Wiggins,$4592200,,,,,,,
Team Totals,$64771417,$60179217,$46785164,$8333985,,,,$50958140
