
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Derrick Rose*,$18862875,$18862875,$20093063,$21323250,,,Bird Rights,$60279188
Joakim Noah*,$12200000,$12200000,$13400000,,,,Bird Rights,$25600000
Taj Gibson*,$8000000,$8000000,$8500000,$8950000,,,Bird Rights,$25450000
Pau Gasol*,$7128000,$7128000,$7448760,$7769520,,,,$14576760
Nikola Mirotic*,$5305000,$5305000,$5543725,$5782450,,,MLE,$16631175
Mike Dunleavy*,$3326235,$3326235,,,,,Mini MLE,$3326235
Kirk Hinrich*,$2730000,$2730000,$2870000,,,,Mini MLE,$2730000
Jimmy Butler*,$2008748,$2008748,,,,,1st Round Pick,$2008748
Anthony Randolph*,$1825359,$1825359,,,,,MLE,$1825359
Tony Snell*,$1472400,$1472400,$1535880,$2368327,,,1st Round Pick,$1472400
Ronnie Brewer*,$1310286,$1310286,,,,,Minimum Salary,
Cameron Bairstow*,$507336,$507336,$845059,$980431,,,Minimum Salary,$932336
Doug McDermott*,$2277960,$2277960,$2380440,$2483040,$3294994,$4510847,,$4658400
Mike James,$1448490,$1448490,,,,,,
Louis Amundson,$1310286,$1310286,,,,,,
Richard Hamilton,$333333,$333333,$333333,,,,,$666666
Team Totals,$70046308,$70046308,$62950260,$49657018,$3294994,$4510847,,$160157267
