
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
John Wall*,$13701250,$13701250,$14728844,$15756438,$16784031,$17811625,1st Round Pick,$78782188
Nene Hilario*,$13000000,$13000000,$13000000,,,,Bird Rights,$26000000
Marcin Gortat*,$10400000,$10400000,$11200000,$12000000,$12740000,$13500000,Bird Rights,$60000000
Martell Webster*,$5381750,$5381750,$5613500,$5845250,,,MLE,$16840500
Andre Miller*,$4625000,$4625000,,,,,Bird Rights,$2000000
Bradley Beal*,$4505280,$4505280,$5694674,,,,1st Round Pick,$4505280
Otto Porter*,$4470480,$4470480,$4662960,$5893981,,,1st Round Pick,$4470480
Kris Humphries*,$4300000,$4300000,$4600000,$4600000,,,,$13500000
DeJuan Blair*,$2000000,$2000000,$2000000,$2000000,,,,$4000000
Drew Gooden*,$1448000,$1448000,,,,,Minimum Salary,$1448000
Glen Rice*,$816482,$816482,,,,,Minimum Salary,$400000
Kevin Seraphin,$6902785,,,,,,,
Trevor Booker,$5877050,,,,,,,
Chris Singleton,$2489530,,,,,,,
Garrett Temple,$915243,,,,,,,
Al Harrington,$915243,,,,,,,
Team Totals,$81748093,$64648242,$61499978,$46095669,$29524031,$31311625,,$211946448
