
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Ty Lawson*,$11595506,$11595506,$12404495,$13213482,,,Bird Rights,$37213483
JaVale McGee*,$11250000,$11250000,$12000000,,,,Bird Rights,$2325000
Danilo Gallinari*,$10854850,$10854850,$11559225,,,,Bird Rights,$22414075
Arron Afflalo*,$7750000,$7750000,$7937500,,,,Bird Rights,$7312500
Wilson Chandler*,$6757913,$6757913,$7171663,,,,Bird Rights,$8757913
J.J. Hickson*,$5381750,$5381750,$5613500,,,,MLE,$10995250
Timofey Mozgov*,$4650000,$4650000,$4950000,,,,Bird Rights,$4650000
Darrell Arthur*,$3457149,$3457149,,,,,Bird Rights,$3457149
Randy Foye*,$3135000,$3135000,$3270000,,,,Non Bird Rights,$6405000
Kenneth Faried*,$2249768,$2249768,,,,,1st Round Pick,$2249768
Nate Robinson*,$2106720,$2106720,,,,,BAE,$2106720
Gary Harris*,$1519200,$1519200,$1587480,$1655880,$2550055,,1st Round Pick,$3106680
Quincy Miller*,$915243,$915243,,,,,MLE,$150000
Jan Vesely,$4236287,,,,,,,
Wesley Person,$915243,,,,,,,
Aaron Brooks,$915243,,,,,,,
Jusuf Nurkic,$1468900,,,,,,,
Team Totals,$79158772,$71623099,$66493863,$14869362,$2550055,,,$111143538
