
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Dwight Howard*,$21436271,$21436271,$22359364,$23282457,,,Cap Space,$43795635
James Harden*,$14728844,$14728844,$15756438,$16784031,$17811625,,Bird Rights,$56175126
Trevor Ariza*,$8600000,$8600000,$8200000,$7800000,$7400000,,Bird Rights,$32000000
Alonzo Gee*,$3000000,$3000000,,,,,Early Bird Rights,
Terrence Jones*,$1618680,$1618680,$2489530,,,,1st Round Pick,$1618680
Donatas Motiejunas*,$1483920,$1483920,$2288205,,,,1st Round Pick,$1483920
Scotty Hopson*,$1450878,$1450878,,,,,MLE,
Jeff Adrien*,$981084,$981084,,,,,Minimum Salary,$981084
Patrick Beverley*,$915243,$915243,,,,,Cap Space,
Robert Covington*,$816482,$816482,$947276,,,,Cap Space,$150000
Isaiah Canaan*,$816482,$816482,$947276,,,,Cap Space,$1574303
Jordan Hamilton,$2109204,,,,,,,
Francisco Garcia,$1316809,,,,,,,
Josh Powell,$1310286,,,,,,,
Troy Daniels,$816482,,,,,,,
Clint Capela,$991000,,,,,,,
Team Totals,$62391665,$55847884,$52988089,$47866488,$25211625,,,$137778748
