
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Kobe Bryant*,$23500000,$23500000,$25000000,,,,Bird Rights,$48500000
Steve Nash*,$9701000,$9701000,,,,,Bird Rights,$9701000
Jordan Hill*,$9000000,$9000000,$9000000,,,,,$9000000
Jeremy Lin*,$8374646,$8374646,,,,,Cap Space,$8374646
Carlos Boozer*,$3250000,$3250000,,,,,,$3250000
Julius Randle*,$2997360,$2997360,$3132240,$3267120,$4149242,,1st Round Pick,$6129600
Ed Davis*,$981084,$981084,$1063384,,,,Minimum Salary,$981084
Robert Sacre*,$915243,$915243,$981348,,,,Non Bird Rights,$915243
Ryan Kelly,$1016482,,,,,,,
Wesley Johnson,$915243,,,,,,,
Xavier Henry,$915243,,,,,,,
Nick Young,$915243,,,,,,,
Team Totals,$62481544,$58719333,$39176972,$3267120,$4149242,,,$86851573
