
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
DeMar DeRozan*,$9500000,$9500000,$9500000,$9500000,,,Bird Rights,$28500000
Amir Johnson*,$7000000,$7000000,,,,,Bird Rights,$5000000
Landry Fields*,$6250000,$6250000,,,,,Cap Space,$6250000
Chuck Hayes*,$5958750,$5958750,,,,,Cap Room,$5958750
Louis Williams*,$5450000,$5450000,,,,,MLE,$5450000
Jonas Valanciunas*,$3678360,$3678360,$4660482,,,,1st Round Pick,$3678360
Steve Novak*,$3445946,$3445946,$3750000,,,,Early Bird,$7195946
Tyler Hansbrough*,$3326235,$3326235,,,,,MLE,$3326235
Terrence Ross*,$2793960,$2793960,$3553917,,,,1st Round Pick,$2793960
Julyan Stone*,$948163,$948163,,,,,Minimum Salary,
Dwight Buycks*,$816482,$816482,,,,,MLE,
Marcus Camby,$646609,$646609,,,,,,$3409663
Kyle Lowry,$9315000,,,,,,,
Patrick Patterson,$7763253,,,,,,,
Greivis Vasquez,$5375470,,,,,,,
Sebastian Telfair,$2037750,,,,,,,
Nando De Colo,$1828750,,,,,,,
Mickael Pietrus,$884293,,,,,,,
Lucas Nogueira,$1468900,$1468900,$1535000,$1601100,$2456087,,,
Bruno Caboclo,$1215300,,,,,,,
Team Totals,$79703221,$51283405,$22999399,$11101100,$2456087,,,$71562914
