
,,Salary,Salary,Salary,Salary,Salary,,
Player,Cap Hit,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
Chandler Parsons*,$14700000,$14700000,$15361500,$16023000,,,Cap Space,$30061500
Tyson Chandler*,$14598888,$14598888,,,,,Bird Rights,$14598888
Monta Ellis*,$8360000,$8360000,$8720000,,,,Cap Space,$8360000
Dirk Nowitzki*,$7974482,$7974482,$8333334,$8692184,,,Cap Space,$16307816
Brandan Wright*,$5000000,$5000000,,,,,Early Bird Rights,$5000000
Devin Harris*,$3878000,$3878000,$4053000,$4228000,$4403000,,,$16562000
Raymond Felton*,$3793693,$3793693,$3950313,,,,Cap Space,$3793693
Jae Crowder*,$915243,$915243,,,,,Cap Space,$915243
Ricky Ledo*,$816482,$816482,$947276,$1015696,,,Cap Space,$816482
Gal Mekel*,$816482,$816482,$947276,,,,Cap Space,$1763758
Greg Smith,$948163,$948163,,,,,,$948163
Team Totals,$61801433,$61801433,$42312699,$29958880,$4403000,,,$99127543
