
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,21,GSW,NBA,SG,66,29,24.4,4.8,10.9,.443,1.7,4.1,.414,3.1,6.8,.460,1.2,1.4,.868,0.4,2.1,2.4,2.0,0.7,0.3,1.6,2.3,12.5
2012-13,22,GSW,NBA,SG,82,82,35.8,6.2,14.7,.422,2.6,6.4,.401,3.6,8.3,.437,1.6,1.9,.841,0.4,3.3,3.7,2.2,1.0,0.5,1.9,2.9,16.6
2013-14,23,GSW,NBA,SG,81,81,35.4,6.9,15.5,.444,2.8,6.6,.417,4.1,8.9,.464,1.8,2.3,.795,0.5,2.6,3.1,2.2,0.9,0.5,1.7,2.9,18.4
Career,,,NBA,,229,192,32.4,6.0,13.9,.435,2.4,5.8,.410,3.7,8.1,.453,1.6,1.9,.827,0.4,2.7,3.1,2.2,0.9,0.4,1.7,2.7,16.0
