
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,24,MIN,NBA,SG,77,16,23.9,3.1,8.2,.372,1.1,3.7,.295,2.0,4.5,.435,1.4,1.9,.720,0.5,1.7,2.3,3.7,0.7,0.4,1.9,1.5,8.6
2013-14,25,MIN,NBA,SG,63,0,10.5,1.2,3.8,.321,0.5,1.6,.294,0.7,2.1,.341,1.1,1.4,.756,0.3,1.0,1.3,1.1,0.4,0.3,0.8,0.6,4.0
Career,,,NBA,,140,16,17.9,2.2,6.2,.358,0.8,2.8,.295,1.4,3.4,.409,1.3,1.7,.733,0.4,1.4,1.8,2.5,0.6,0.3,1.4,1.1,6.5
