
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,CLE,NBA,SG,20,0,5.8,0.8,2.0,.385,0.3,1.1,.273,0.5,0.9,.529,0.2,0.3,.667,0.4,0.5,0.9,0.3,0.3,0.2,0.3,0.5,2.0
2010-11,23,SAS,NBA,SG,8,0,11.5,2.1,4.4,.486,0.9,2.4,.368,1.3,2.0,.625,0.0,0.0,,0.4,1.5,1.9,0.3,0.3,0.1,0.6,0.9,5.1
2011-12,24,SAS,NBA,SG,66,38,23.1,3.2,7.2,.442,1.5,3.5,.436,1.7,3.7,.449,1.2,1.5,.790,0.8,2.6,3.5,1.3,0.9,0.7,1.0,1.6,9.1
2012-13,25,SAS,NBA,SG,80,80,27.5,3.7,8.3,.448,2.2,5.2,.429,1.5,3.1,.480,0.8,1.0,.848,0.5,2.6,3.1,1.8,1.2,0.7,1.2,1.6,10.5
2013-14,26,SAS,NBA,SG,68,59,24.3,3.2,7.4,.432,1.9,4.7,.415,1.3,2.8,.460,0.7,0.9,.794,0.4,3.0,3.4,1.5,1.0,0.9,1.1,1.6,9.1
Career,,,NBA,,242,177,23.1,3.1,7.1,.441,1.8,4.2,.421,1.4,2.9,.468,0.8,1.0,.806,0.5,2.5,3.0,1.4,0.9,0.7,1.0,1.5,8.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAS,NBA,,222,177,24.6,3.3,7.6,.442,1.9,4.4,.425,1.5,3.1,.467,0.9,1.1,.810,0.5,2.7,3.2,1.5,1.0,0.7,1.1,1.6,9.5
1 season,,CLE,NBA,,20,0,5.8,0.8,2.0,.385,0.3,1.1,.273,0.5,0.9,.529,0.2,0.3,.667,0.4,0.5,0.9,0.3,0.3,0.2,0.3,0.5,2.0
