
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,23,HOU,NBA,SF,63,57,28.6,3.9,8.7,.452,1.0,2.8,.337,3.0,5.9,.507,0.7,1.2,.551,1.4,3.3,4.8,2.1,1.2,0.5,1.3,2.3,9.5
2012-13,24,HOU,NBA,SF,76,76,36.3,6.0,12.4,.486,2.0,5.2,.385,4.0,7.2,.559,1.5,2.0,.729,1.0,4.3,5.3,3.5,1.0,0.4,1.9,1.9,15.5
2013-14,25,HOU,NBA,SF,74,74,37.6,6.3,13.3,.472,1.8,4.7,.370,4.5,8.6,.528,2.2,3.0,.742,0.9,4.6,5.5,4.0,1.2,0.4,1.9,2.3,16.6
Career,,,NBA,,213,207,34.5,5.5,11.6,.473,1.6,4.3,.370,3.9,7.3,.534,1.5,2.1,.705,1.1,4.1,5.2,3.3,1.1,0.4,1.7,2.2,14.1
